Participant,cluster,question,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9
1,7,In what way do you expect to be recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,School,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,NA,NA,NA
2,0,Department,Arts & Culture,NA,NA,NA,NA,NA,NA,NA,NA
2,0,Position,Other_Lecturer,NA,NA,NA,NA,NA,NA,NA,NA
2,1,"In your opinion, how important is Open Access for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
2,1,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,NA,NA,NA,NA,NA,NA,NA,NA
2,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,NA,NA,NA,NA,NA,NA
2,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,"In your opinion, how important are open data, materials, and/or code for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
2,2,"What is your experience with using open data, materials, and/or code developed by others?","I have some experience with open data, materials, and/or code developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
2,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I have some experience with open data, materials, and/or code, but do not share mine regularly",NA,NA,NA,NA,NA,NA,NA,NA
2,2,Are you familiar with the FAIR principles for data and code?,"I have some experience with the FAIR principles, but do not follow them regularly",NA,NA,NA,NA,NA,NA,NA,NA
2,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?",Others might find errors in my published work,"Others might find it difficult to understand my data, materials, and/or code","Reuse of my data, materials, and/or code could violate the epistemological framework of my research","I might not receive appropriate credit for data, materials, and/or code if I make them openly available",NA,NA,NA,NA,NA
2,3,"In your opinion, how important is preregistration for your work?",Slightly important,NA,NA,NA,NA,NA,NA,NA,NA
2,3,What is your experience with study preregistration?,"Until now, I was unaware of study preregistration",NA,NA,NA,NA,NA,NA,NA,NA
2,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I need to look at my data before I can decide how to best analyse it,Preregistration prevents exploratory research,Preregistration stifles research creativity or flexibility,Preregistration might lead to other people taking my research idea and implementing my plan,"It might take too much time, effort, and resources",NA,NA,NA,NA
2,4,"In your opinion, how important are open educational resources for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
2,4,What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
2,4,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",NA,NA,NA,NA,NA,NA,NA,NA
2,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might find it difficult to understand my educational resources,I might lose control over how my educational resources are being used,NA,NA,NA,NA,NA,NA,NA
2,5,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
2,5,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",NA,NA,NA,NA,NA,NA,NA,NA
2,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,"Open data, materials, and/or code",NA,NA,NA,NA,NA,NA,NA
2,6,What support services provided at EUR have you used to make your data FAIR?,I attended a workshop on research data management,I looked up relevant information on the EUR website,"I got advice on FAIR data/research data management from an expert (e.g., research data steward)",NA,NA,NA,NA,NA,NA
2,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
2,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,In what way do you expect to be recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Is there anything else you would like to mention about Open Science practices?,Reciprocity and subjectivity in research need to be stressed in relation to societal engagement in research,NA,NA,NA,NA,NA,NA,NA,NA
3,0,School,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,NA,NA,NA
3,0,Department,History,NA,NA,NA,NA,NA,NA,NA,NA
3,0,Position,PhD candidate,NA,NA,NA,NA,NA,NA,NA,NA
3,1,"In your opinion, how important is Open Access for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
3,1,What is your experience with Open Access?,I have some experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
3,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Green OA (self-archiving): Other people might copy my research and publish it before I do,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,"Gold OA: The impact of an Open Access publication might be low (e.g., few downloads and citations, low public engagement)",NA,NA,NA,NA
3,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,"In your opinion, how important are open data, materials, and/or code for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
3,2,"What is your experience with using open data, materials, and/or code developed by others?","I have some experience with open data, materials, and/or code developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
3,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I am aware of open data, materials, and/or code, but have not shared my own",NA,NA,NA,NA,NA,NA,NA,NA
3,2,Are you familiar with the FAIR principles for data and code?,"Until now, I hadn't heard of the FAIR principles",NA,NA,NA,NA,NA,NA,NA,NA
3,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?","Other_Sharing data is not always a good idea when for example one works with vulnerable groups and informants might be at risk of stigma, prosecution, etc.",NA,NA,NA,NA,NA,NA,NA,NA
3,3,"In your opinion, how important is preregistration for your work?",I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
3,3,What is your experience with study preregistration?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
3,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
3,4,"In your opinion, how important are open educational resources for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
3,4,What is your experience with using open educational resources developed by others?,I regularly use open educational resources developed by others,NA,NA,NA,NA,NA,NA,NA,NA
3,4,What is your experience with openly sharing educational resources that you developed?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
3,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",NA,NA,NA,NA,NA,NA,NA,NA
3,5,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
3,5,What is your experience engaging with society?,I regularly engage with society,NA,NA,NA,NA,NA,NA,NA,NA
3,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Other_I find it difficult to address certain issues in the media afraid of a backless from certain groups of people.,NA,NA,NA,NA,NA,NA,NA,NA
3,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
3,6,Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,"Open data, materials, and/or code",Preregistration,Open educational resources,Open engagement of societal actors,NA,NA,NA,NA
3,6,What support services provided at EUR have you used to make your data FAIR?,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,NA,NA,NA,NA,NA,NA,NA,NA
3,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,Praise by my colleagues/supervisor/manager,Receive a promotion,Receive a salary raise,NA,NA,NA,NA,NA
3,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,School,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,NA,NA,NA
4,0,Department,Arts & Culture,NA,NA,NA,NA,NA,NA,NA,NA
4,0,Position,Assistant Professor,NA,NA,NA,NA,NA,NA,NA,NA
4,1,"In your opinion, how important is Open Access for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
4,1,What is your experience with Open Access?,I have some experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
4,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,"Other_a lot of money goes to the established publishers (which could be spent otherwise). The reputation of some open access journals may be perceived poorer, leading to less interest from peers, and less citations.",NA,NA,NA,NA
4,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,"In your opinion, how important are open data, materials, and/or code for your work?",I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
4,2,"What is your experience with using open data, materials, and/or code developed by others?","I am aware of open data, materials, and/or code developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
4,2,"What is your experience with openly sharing data, materials, and/or code that you developed?",I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
4,2,Are you familiar with the FAIR principles for data and code?,"Until now, I hadn't heard of the FAIR principles",NA,NA,NA,NA,NA,NA,NA,NA
4,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?","Others might find it difficult to understand my data, materials, and/or code","Reuse of my data, materials, and/or code could violate the epistemological framework of my research","Other_the privacy of the respondent, especially in interview data. I haven't answered to the above question, because my opinion differs on questionnaire data and interview data.",NA,NA,NA,NA,NA,NA
4,3,"In your opinion, how important is preregistration for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
4,3,What is your experience with study preregistration?,"I have some experience with study preregistration, but do not use it regularly",NA,NA,NA,NA,NA,NA,NA,NA
4,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I need to look at my data before I can decide how to best analyse it,Preregistration prevents exploratory research,"It might take too much time, effort, and resources",NA,NA,NA,NA,NA,NA
4,4,"In your opinion, how important are open educational resources for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
4,4,What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
4,4,What is your experience with openly sharing educational resources that you developed?,"Until now, I hadn't heard of open educational resources",NA,NA,NA,NA,NA,NA,NA,NA
4,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",NA,NA,NA,NA,NA,NA,NA,NA
4,5,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
4,5,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",NA,NA,NA,NA,NA,NA,NA,NA
4,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources","It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)","Other_it costs time to find the middle ground, and journals and peers may criticize the work.",NA,NA,NA,NA,NA,NA
4,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
4,6,Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,"Open data, materials, and/or code",Preregistration,Open educational resources,Open engagement of societal actors,NA,NA,NA,NA
4,6,What support services provided at EUR have you used to make your data FAIR?,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,NA,NA,NA,NA,NA,NA,NA,NA
4,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,Trust from my colleagues/supervisor/manager,Praise by my colleagues/supervisor/manager,NA,NA,NA,NA,NA,NA
4,8,Is there anything else you would like to mention about Open Science practices?,"it would be helpful to gradually learn more about it, in a lean and fun manner. Lectures and discussions forums, or very long instruction documents are not the best solution, in my opinion. Sth as the dilemma game is more appealing and a good learning tool to start with. If then people want to learn more, an online instruction video could work. Thanks for the interest.",NA,NA,NA,NA,NA,NA,NA,NA
5,0,School,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,NA,NA,NA
5,0,Department,History,NA,NA,NA,NA,NA,NA,NA,NA
5,0,Position,Assistant Professor,NA,NA,NA,NA,NA,NA,NA,NA
5,1,"In your opinion, how important is Open Access for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
5,1,What is your experience with Open Access?,I have some experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
5,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Green OA (self-archiving): Other people might copy my research and publish it before I do,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,NA,NA,NA,NA,NA
5,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2,"In your opinion, how important are open data, materials, and/or code for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
5,2,"What is your experience with using open data, materials, and/or code developed by others?","I regularly use open data, materials, and/or code developed by others",NA,NA,NA,NA,NA,NA,NA,NA
5,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I have some experience with open data, materials, and/or code, but do not share mine regularly",NA,NA,NA,NA,NA,NA,NA,NA
5,2,Are you familiar with the FAIR principles for data and code?,"Until now, I hadn't heard of the FAIR principles",NA,NA,NA,NA,NA,NA,NA,NA
5,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?","Others might find it difficult to understand my data, materials, and/or code","I might lose control over how my data, materials, and/or code are being used","I might not receive appropriate credit for data, materials, and/or code if I make them openly available",There could be issues related to intellectual property,"It might take too much time, effort, and resources",NA,NA,NA,NA
5,3,"In your opinion, how important is preregistration for your work?",Slightly important,NA,NA,NA,NA,NA,NA,NA,NA
5,3,What is your experience with study preregistration?,"Until now, I was unaware of study preregistration",NA,NA,NA,NA,NA,NA,NA,NA
5,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I need to look at my data before I can decide how to best analyse it,Preregistration prevents exploratory research,Preregistration stifles research creativity or flexibility,Preregistration might lead to other people taking my research idea and implementing my plan,"It might take too much time, effort, and resources",NA,NA,NA,NA
5,4,"In your opinion, how important are open educational resources for your work?",Slightly important,NA,NA,NA,NA,NA,NA,NA,NA
5,4,What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
5,4,What is your experience with openly sharing educational resources that you developed?,"I have some experience with open educational resources, but do not share mine regularly",NA,NA,NA,NA,NA,NA,NA,NA
5,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might not receive appropriate credit for my educational resources if I make them openly available,There could be issues related to intellectual property,"It might take too much time, effort, and resources",NA,NA,NA,NA,NA,NA
5,5,"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,NA,NA,NA,NA,NA,NA,NA,NA
5,5,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",NA,NA,NA,NA,NA,NA,NA,NA
5,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Other_Most of the societies I engage with is past us.,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,"Open data, materials, and/or code",Preregistration,Open educational resources,Open engagement of societal actors,NA,NA,NA,NA
5,6,What support services provided at EUR have you used to make your data FAIR?,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
5,7,In what way were you recognized and rewarded?,"Freedom to choose and initiate my own projects,Praised by my colleagues/supervisor/manager",NA,NA,NA,NA,NA,NA,NA,NA
5,7,In what way do you expect to be recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0,School,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,NA,NA,NA
6,0,Department,History,NA,NA,NA,NA,NA,NA,NA,NA
6,0,Position,Assistant Professor,NA,NA,NA,NA,NA,NA,NA,NA
6,1,"In your opinion, how important is Open Access for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
6,1,What is your experience with Open Access?,I have some experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
6,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",NA,NA,NA,NA,NA,NA,NA
6,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,"In your opinion, how important are open data, materials, and/or code for your work?",Slightly important,NA,NA,NA,NA,NA,NA,NA,NA
6,2,"What is your experience with using open data, materials, and/or code developed by others?","I am aware of open data, materials, and/or code developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
6,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I regularly share open data, materials, and/or code",NA,NA,NA,NA,NA,NA,NA,NA
6,2,Are you familiar with the FAIR principles for data and code?,"Until now, I hadn't heard of the FAIR principles",NA,NA,NA,NA,NA,NA,NA,NA
6,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?","I might not receive appropriate credit for data, materials, and/or code if I make them openly available",There could be issues related to intellectual property,NA,NA,NA,NA,NA,NA,NA
6,3,"In your opinion, how important is preregistration for your work?",Not at all important,NA,NA,NA,NA,NA,NA,NA,NA
6,3,What is your experience with study preregistration?,"I am aware of study preregistration, but have not used it",NA,NA,NA,NA,NA,NA,NA,NA
6,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
6,4,"In your opinion, how important are open educational resources for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
6,4,What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
6,4,What is your experience with openly sharing educational resources that you developed?,I regularly share open educational resources,NA,NA,NA,NA,NA,NA,NA,NA
6,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might not receive appropriate credit for my educational resources if I make them openly available,There could be issues related to intellectual property,NA,NA,NA,NA,NA,NA,NA
6,5,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,NA,NA,NA,NA,NA,NA,NA,NA
6,5,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",NA,NA,NA,NA,NA,NA,NA,NA
6,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",Some societal actors might have ideas that are too difficult to implement,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",NA,NA,NA,NA,NA,NA
6,6,Do you expect EUR to support you in learning open science practices?,No,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Which of the following open science practices would you like EUR to provide information or support for?,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,What support services provided at EUR have you used to make your data FAIR?,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
6,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,In what way do you expect to be recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0,School,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,NA,NA,NA
7,0,Department,Arts & Culture,NA,NA,NA,NA,NA,NA,NA,NA
7,0,Position,Other_Lecturer,NA,NA,NA,NA,NA,NA,NA,NA
7,1,"In your opinion, how important is Open Access for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
7,1,What is your experience with Open Access?,I have some experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
7,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Green OA (self-archiving): Other people might copy my research and publish it before I do,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,NA,NA,NA
7,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,"In your opinion, how important are open data, materials, and/or code for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
7,2,"What is your experience with using open data, materials, and/or code developed by others?","I am aware of open data, materials, and/or code developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
7,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I am aware of open data, materials, and/or code, but have not shared my own",NA,NA,NA,NA,NA,NA,NA,NA
7,2,Are you familiar with the FAIR principles for data and code?,"I have some experience with the FAIR principles, but do not follow them regularly",NA,NA,NA,NA,NA,NA,NA,NA
